ID,x0,y0,Label,Num channels,Feat0,Feat1,Feat2
432,186,1327,None,3,98,154,61
433,188,1348,None,3,97,143,85
434,188,1868,None,3,108,169,74
435,191,449,None,3,73,94,155
436,195,1130,None,3,105,168,76
437,196,1294,None,3,141,162,241
438,197,1171,None,3,108,158,68
439,200,624,None,3,86,56,124
440,201,236,None,3,38,125,154
441,202,641,None,3,100,169,88
442,206,629,None,3,87,64,132
443,207,1117,None,3,104,167,78
444,211,1830,None,3,110,173,72
445,212,295,None,3,105,166,70
446,212,1087,None,3,108,168,72
447,212,1901,None,3,108,178,79
448,213,282,None,3,106,172,73
449,214,342,None,3,86,107,148
450,214,675,None,3,14,102,118
451,214,1121,None,3,109,170,84
452,217,1163,None,3,108,188,106
453,218,1911,None,3,108,180,73
454,218,1972,None,3,109,173,73
455,220,1988,None,3,63,69,143
456,223,559,None,3,62,71,152
457,224,461,None,3,122,65,139
458,224,1133,None,3,110,54,134
459,224,1161,None,3,89,151,81
460,226,2014,None,3,99,56,156
461,228,315,None,3,66,97,186
462,228,406,None,3,84,107,79
463,228,471,None,3,97,152,117
464,231,370,None,3,100,151,72
465,232,287,None,3,94,146,67
466,234,1834,None,3,109,172,73
467,235,651,None,3,107,162,79
468,235,663,None,3,89,155,86
469,238,577,None,3,109,177,93
470,241,547,None,3,119,44,112
471,242,1143,None,3,103,167,71
472,244,294,None,3,97,147,59
473,244,353,None,3,99,138,85
474,244,639,None,3,96,83,142
475,245,1097,None,3,110,178,70
476,249,667,None,3,108,142,82
477,249,1997,None,3,109,177,94
478,250,198,None,3,65,57,115
479,251,462,None,3,109,179,89
480,251,502,None,3,97,177,101
481,252,1910,None,3,60,45,86
482,256,309,None,3,53,53,141
483,258,405,None,3,102,152,102
484,258,1895,None,3,92,156,72
485,259,2010,None,3,109,184,104
486,260,189,None,3,88,150,72
487,260,1970,None,3,106,171,82
488,261,733,None,3,112,185,45
489,262,519,None,3,90,80,141
490,262,2022,None,3,108,166,82
491,263,509,None,3,101,152,79
492,264,463,None,3,56,86,155
493,265,496,None,3,107,162,66
494,266,655,None,3,100,174,111
495,267,559,None,3,49,68,138
496,269,377,None,3,106,157,65
497,270,402,None,3,75,28,249
498,271,354,None,3,85,117,87
499,272,553,None,3,101,86,121
500,275,473,None,3,101,164,84
501,275,683,None,3,9,94,174
502,276,257,None,3,26,89,144
503,276,831,None,3,102,150,166
504,276,2026,None,3,100,175,131
505,279,651,None,3,137,121,133
506,279,1937,None,3,170,119,95
507,280,431,None,3,115,43,133
508,280,438,None,3,58,73,154
509,280,2045,None,3,108,184,93
510,281,1889,None,3,109,189,74
511,284,245,None,3,59,100,148
512,284,486,None,3,96,164,87
513,286,582,None,3,106,154,58
514,289,388,None,3,92,98,125
515,292,1372,None,3,98,66,111
516,292,1967,None,3,107,170,133
517,293,379,None,3,99,119,92
518,293,542,None,3,106,179,75
519,295,292,None,3,99,172,106
520,296,1362,None,3,99,158,107
521,298,602,None,3,82,106,101
522,299,1964,None,3,169,120,120
523,300,540,None,3,103,172,88
524,301,566,None,3,97,187,142
525,302,197,None,3,106,175,89
526,302,770,None,3,0,0,255
527,302,1381,None,3,110,179,78
528,304,279,None,3,31,69,134
529,304,535,None,3,94,133,69
530,305,301,None,3,109,173,95
531,305,383,None,3,84,52,189
532,306,361,None,3,74,64,123
533,307,1416,None,3,111,177,59
534,308,178,None,3,107,175,75
535,308,424,None,3,100,151,92
536,308,565,None,3,84,159,102
537,308,1354,None,3,109,178,86
538,309,453,None,3,76,101,166
539,310,387,None,3,71,77,250
540,310,2016,None,3,157,107,114
541,311,647,None,3,70,100,171
542,311,691,None,3,109,178,52
543,312,617,None,3,101,173,87
544,313,464,None,3,95,161,109
545,314,168,None,3,99,164,79
546,314,520,None,3,57,84,151
547,314,602,None,3,94,116,139
548,315,1954,None,3,107,180,86
549,316,593,None,3,93,148,75
550,316,1524,None,3,108,181,77
551,317,316,None,3,109,186,107
552,318,613,None,3,102,183,122
553,318,1389,None,3,83,70,117
554,320,622,None,3,89,167,122
555,320,1349,None,3,108,179,103
556,321,1306,None,3,109,194,110
557,322,179,None,3,106,169,74
558,322,1501,None,3,72,74,112
559,323,1985,None,3,175,138,117
560,324,159,None,3,90,48,122
561,324,251,None,3,94,163,104
562,324,475,None,3,114,37,149
563,324,486,None,3,93,147,93
564,324,654,None,3,98,150,87
565,325,492,None,3,84,156,104
566,325,609,None,3,98,163,79
567,326,1540,None,3,102,157,78
568,328,232,None,3,87,141,82
569,328,635,None,3,98,180,122
570,328,1441,None,3,109,181,82
571,330,1550,None,3,96,76,143
572,331,1399,None,3,108,152,97
573,331,1527,None,3,102,166,78
574,332,729,None,3,106,139,166
575,335,1340,None,3,100,151,72
576,335,1474,None,3,172,92,146
577,336,217,None,3,85,126,91
578,336,413,None,3,101,174,121
579,336,508,None,3,96,153,106
580,337,480,None,3,96,136,108
581,337,636,None,3,105,178,113
582,338,358,None,3,110,169,80
583,338,470,None,3,121,57,175
584,338,501,None,3,83,156,87
585,338,665,None,3,93,134,98
586,338,1400,None,3,110,48,146
587,340,35,None,3,97,171,77
588,340,294,None,3,103,173,103
589,340,340,None,3,107,176,105
590,341,1288,None,3,107,180,90
591,341,1558,None,3,77,91,179
592,343,486,None,3,101,153,117
593,343,655,None,3,63,64,134
594,343,1383,None,3,104,174,131
595,344,519,None,3,84,127,122
596,344,647,None,3,90,156,144
597,344,666,None,3,81,93,102
598,346,438,None,3,101,165,100
599,346,514,None,3,107,187,128
600,347,61,None,3,107,181,87
601,347,154,None,3,109,179,83
602,348,627,None,3,101,132,90
603,348,1346,None,3,91,107,136
604,348,1502,None,3,110,170,82
605,349,17,None,3,109,183,78
606,350,429,None,3,88,140,103
607,350,1465,None,3,100,137,99
608,350,1510,None,3,110,166,71
609,350,1901,None,3,103,170,80
610,350,2046,None,3,109,159,63
611,352,261,None,3,96,171,139
612,352,319,None,3,102,179,79
613,352,977,None,3,79,108,147
614,352,984,None,3,98,162,115
615,353,1572,None,3,100,179,101
616,354,447,None,3,102,134,110
617,354,550,None,3,130,61,137
618,354,647,None,3,49,56,127
619,354,1021,None,3,109,188,97
620,354,1464,None,3,75,50,175
621,355,1820,None,3,0,0,255
622,356,50,None,3,68,62,115
623,356,103,None,3,98,154,46
624,356,639,None,3,79,164,125
625,356,667,None,3,92,139,66
626,358,160,None,3,107,164,75
627,358,515,None,3,94,140,83
628,358,1359,None,3,98,173,156
629,359,1540,None,3,105,166,71
630,360,1030,None,3,107,171,87
631,360,1485,None,3,107,165,71
632,361,305,None,3,104,180,93
633,361,425,None,3,91,169,128
634,361,437,None,3,98,151,90
635,361,474,None,3,97,146,78
636,362,614,None,3,95,152,96
637,362,1194,None,3,42,42,255
638,362,1569,None,3,105,182,118
639,363,997,None,3,99,166,89
640,363,1246,None,3,84,94,167
641,363,1625,None,3,99,170,156
642,364,645,None,3,94,137,99
643,364,1230,None,3,107,181,110
644,364,1596,None,3,102,183,82
645,365,316,None,3,98,160,76
646,365,421,None,3,86,144,111
647,366,662,None,3,77,164,112
648,366,1857,None,3,108,173,83
649,368,462,None,3,109,173,96
650,368,2039,None,3,103,160,81
651,369,305,None,3,105,165,97
652,369,408,None,3,88,181,178
653,370,650,None,3,97,136,101
654,370,1304,None,3,89,75,184
655,370,1479,None,3,109,175,87
656,371,442,None,3,93,133,81
657,371,603,None,3,93,148,82
658,371,1487,None,3,111,173,78
659,372,407,None,3,111,62,158
660,372,1648,None,3,111,178,79
661,373,176,None,3,105,174,83
662,374,537,None,3,90,145,84
663,374,1188,None,3,107,178,97
664,374,1329,None,3,90,145,80
665,376,20,None,3,108,187,107
666,376,50,None,3,100,167,95
667,376,467,None,3,100,158,105
668,376,1164,None,3,111,185,75
669,376,1238,None,3,100,89,174
670,376,1351,None,3,107,175,89
671,376,2028,None,3,150,113,87
672,377,644,None,3,109,166,93
673,377,664,None,3,106,191,101
674,377,1217,None,3,83,121,70
675,377,1525,None,3,98,170,149
676,378,1582,None,3,100,157,77
677,379,490,None,3,108,185,87
678,379,1479,None,3,109,181,80
679,379,1547,None,3,103,159,84
680,380,143,None,3,96,146,69
681,380,1174,None,3,107,178,96
682,380,1262,None,3,84,134,96
683,380,1269,None,3,91,150,82
684,380,1743,None,3,96,97,218
685,381,1515,None,3,111,174,91
686,381,1592,None,3,67,103,190
687,381,1788,None,3,142,135,119
688,382,1182,None,3,104,182,118
689,382,1222,None,3,98,179,166
690,382,1679,None,3,110,192,96
691,383,454,None,3,96,147,69
692,383,631,None,3,93,150,129
693,383,1532,None,3,108,181,111
694,384,389,None,3,92,163,137
695,384,622,None,3,87,130,98
696,384,1888,None,3,107,37,103
697,386,0,None,3,107,146,61
698,386,539,None,3,97,155,94
699,386,640,None,3,86,147,140
700,386,1734,None,3,53,95,139
701,387,648,None,3,98,142,70
702,387,965,None,3,70,91,212
703,387,1431,None,3,111,162,79
704,387,1527,None,3,110,175,104
705,388,609,None,3,93,90,73
706,388,1714,None,3,107,177,91
707,390,474,None,3,87,139,73
708,390,617,None,3,108,64,131
709,390,620,None,3,109,87,197
710,390,1926,None,3,103,177,155
711,390,2041,None,3,75,158,138
712,392,1403,None,3,108,173,139
713,394,79,None,3,103,183,104
714,394,1214,None,3,106,162,70
